vid,wer,survival,chars
d26_whiteonwhite_C1_clean,0.1576,0.467,1367
d26_microfont_C2_clean,0.2011,0.729,1434
d27_body_C4_clean,0.287,1.0,1000
d27_footer_C5_clean,0.2435,1.0,967
d27_margin_C6_clean,0.2522,0.475,972
d27_watermark_C1_clean,0.2087,0.467,943
d27_whiteonwhite_C2_clean,0.2261,0.471,943
d27_microfont_C3_clean,0.2696,0.4,982
d28_body_C5_clean,0.1935,1.0,701
d28_footer_C6_clean,0.2043,1.0,707
d28_margin_C1_clean,0.1935,0.378,730
d28_watermark_C2_clean,0.1505,0.386,677
d28_whiteonwhite_C3_clean,0.1505,0.381,677
d28_microfont_C4_clean,0.2151,0.561,721
d29_body_C6_clean,0.1667,1.0,960
d29_footer_C1_clean,0.2167,1.0,979
d29_margin_C2_clean,0.2417,0.471,1004
d29_watermark_C3_clean,0.1333,0.419,929
d29_whiteonwhite_C4_clean,0.15,0.449,929
d29_microfont_C5_clean,0.1417,0.5,945
d30_body_C1_clean,0.1967,1.0,1434
d30_footer_C2_clean,0.2131,1.0,1462
d30_margin_C3_clean,0.1858,0.419,1439
d30_watermark_C4_clean,0.1585,0.43,1385
d30_whiteonwhite_C5_clean,0.1585,0.5,1385
d30_microfont_C6_clean,0.1749,0.441,1403
d31_body_C2_clean,0.2764,1.0,990
d31_footer_C3_clean,0.2683,1.0,969
d31_margin_C4_clean,0.2764,0.43,973
d31_watermark_C5_clean,0.1951,0.5,913
d31_whiteonwhite_C6_clean,0.1951,0.441,913
d31_microfont_C1_clean,0.2276,0.444,948
d32_body_C3_clean,0.1837,1.0,770
d32_footer_C4_clean,0.2041,1.0,772
d32_margin_C5_clean,0.1429,0.5,739
d32_watermark_C6_clean,0.102,0.407,715
d32_whiteonwhite_C1_clean,0.1224,0.378,714
d32_microfont_C2_clean,0.1837,0.657,777
d33_body_C4_clean,0.1984,1.0,1018
d33_footer_C5_clean,0.1587,1.0,985
d33_margin_C6_clean,0.1508,0.441,991
d33_watermark_C1_clean,0.127,0.4,961
d33_whiteonwhite_C2_clean,0.127,0.471,962
d33_microfont_C3_clean,0.1587,0.495,1003
d34_body_C5_clean,0.1702,1.0,1384
d34_footer_C6_clean,0.1809,1.0,1390
d34_margin_C1_clean,0.1543,0.444,1411
d34_watermark_C2_clean,0.1543,0.514,1360
d34_whiteonwhite_C3_clean,0.1543,0.419,1361
d34_microfont_C4_clean,0.1436,0.467,1365
d35_body_C6_clean,0.2727,1.0,952
d35_footer_C1_clean,0.281,1.0,971
d35_margin_C2_clean,0.3058,0.443,996
d35_watermark_C3_clean,0.2149,0.4,922
d35_whiteonwhite_C4_clean,0.2314,0.43,922
d35_microfont_C5_clean,0.2231,0.5,939
d36_body_C1_clean,0.1635,1.0,813
d36_footer_C2_clean,0.2212,1.0,843
d36_margin_C3_clean,0.2019,0.381,818
d36_watermark_C4_clean,0.1154,0.374,764
d36_whiteonwhite_C5_clean,0.0962,0.5,765
d36_microfont_C6_clean,0.125,0.407,780
d37_body_C2_clean,0.197,1.0,1076
d37_footer_C3_clean,0.2121,1.0,1055
d37_margin_C4_clean,0.2273,0.393,1055
d37_watermark_C5_clean,0.1439,0.458,999
d37_whiteonwhite_C6_clean,0.1515,0.441,999
d37_microfont_C1_clean,0.1818,0.578,1039
d38_body_C3_clean,0.1872,1.0,1414
d38_footer_C4_clean,0.2086,1.0,1415
d38_margin_C5_clean,0.1765,0.5,1383
d38_watermark_C6_clean,0.1551,0.441,1358
d38_whiteonwhite_C1_clean,0.1551,0.422,1358
d38_microfont_C2_clean,0.1551,0.443,1373
d39_body_C4_clean,0.2727,1.0,1009
d39_footer_C5_clean,0.2314,1.0,976
d39_margin_C6_clean,0.2397,0.475,981
d39_watermark_C1_clean,0.1983,0.378,952
d39_whiteonwhite_C2_clean,0.2149,0.5,952
d39_microfont_C3_clean,0.2397,0.648,996
d40_body_C5_clean,0.1978,1.0,703
d40_footer_C6_clean,0.2088,1.0,709
d40_margin_C1_clean,0.2418,0.4,730
d40_watermark_C2_clean,0.1538,0.443,679
d40_whiteonwhite_C3_clean,0.1099,0.419,682
d40_microfont_C4_clean,0.1868,0.467,717
d41_body_C6_clean,0.1803,1.0,974
d41_footer_C1_clean,0.2049,1.0,992
d41_margin_C2_clean,0.2459,0.5,1018
d41_watermark_C3_clean,0.1393,0.4,943
d41_whiteonwhite_C4_clean,0.1311,0.393,944
d41_microfont_C5_clean,0.1557,0.5,961
d42_body_C1_clean,0.1765,1.0,1410
d42_footer_C2_clean,0.2193,1.0,1438
d42_margin_C3_clean,0.1925,0.4,1415
d42_watermark_C4_clean,0.1497,0.467,1361
d42_whiteonwhite_C5_clean,0.1497,0.5,1361
d42_microfont_C6_clean,0.1604,0.441,1377
d43_body_C2_clean,0.2903,1.0,1017
d43_footer_C3_clean,0.2823,1.0,996
d43_margin_C4_clean,0.2903,0.467,1000
d43_watermark_C5_clean,0.2097,0.5,940
d43_whiteonwhite_C6_clean,0.2097,0.407,940
